,Code,Location,city,state_or_country
115,FAB  ,"Fabens, TX",Fabens, TX
116,FAJ   ,"Fajardo, PR",Fajardo, PR
117,FAL  ,"Falcon Dam, TX",Falcon Dam, TX
118,FAR  ,"Fargo, ND",Fargo, ND
119,FBA  ,"Freeport, Bahamas",Freeport, Bahamas
120,FDE  ,"Eagle Pass, Fort Duncan Bridge",Eagle Pass, Fort Duncan Bridge
121,FER  ,"Ferry, WA",Ferry, WA
122,FHK  ,"Fort Hancock, TX",Fort Hancock, TX
123,FPT  ,"Freeport, TX",Freeport, TX
124,FRB  ,"Fairbanks, AK",Fairbanks, AK
125,FRE  ,"Fresno, CA",Fresno, CA
126,FRI   ,"Friday Harbor, WA",Friday Harbor, WA
127,FRK  ,"Frederiksted, St. Croix, VI",Frederiksted," St. Croix, VI"
128,FRN  ,"Fernandina, FL",Fernandina, FL
129,FRT  ,"Fortuna, ND",Fortuna, ND
130,FTC  ,"Fort Covington, NY",Fort Covington, NY
131,FTF  ,"Fort Fairfield, ME",Fort Fairfield, ME
132,FTH  ,"Fort Hancock, NM",Fort Hancock, NM
133,FTK  ,"Fort Kent, ME",Fort Kent, ME
134,FTL  ,"Fort Lauderdale, FL",Fort Lauderdale, FL
135,FTM  ,"Fort Meyers, FL",Fort Meyers, FL
136,FTP  ,"Fort Pierce, FL",Fort Pierce, FL
137,FWA ,"Frontier, WA",Frontier, WA
138,GAL  ,"Galveston, TX",Galveston, TX
139,GAR ,"Gary, IN",Gary, IN
140,GEO ,"Georgetown, SC",Georgetown, SC
141,GGW,"Glasgow, MT",Glasgow, MT
142,GLO ,"Gloucester, MA",Gloucester, MA
143,GLP  ,"Gulfport, MS",Gulfport, MS
144,GPM ,"Grand Portage, MN",Grand Portage, MN
145,GRB ,"Green Bay, WI",Green Bay, WI
146,GRE  ,"Great Falls, MT",Great Falls, MT
147,GRF  ,"Grand Forks, ND",Grand Forks, ND
148,GRO ,"Grosse Isle, MI",Grosse Isle, MI
149,GRP  ,"Grand Rapids, MI Kent County Intl Airport",Grand Rapids, MI Kent County Intl Airport
150,GRR ,"Greer, SC",Greer, SC
151,GRT  ,"Groton, CT",Groton, CT
152,GSN ,"Saipan Island, Saipan Intl Arpt, MP, USA",Saipan Island," Saipan Intl Arpt, MP, USA"
153,GTW ,"Brownsville, Gateway Bridge",Brownsville, Gateway Bridge
154,GUL  ,"Gulfport, MS",Gulfport, MS
155,HAI  ,"Haines, AK",Haines, AK
156,HAL  ,"Halifax, Nova Scotia",Halifax, Nova Scotia
157,HAM ,"Hamilton, Bermuda",Hamilton, Bermuda
158,HAR ,"Harrisburg, PA",Harrisburg, PA
159,HEL  ,"Helena, MT",Helena, MT
160,HHW,"Honolulu, HI",Honolulu, HI
